question_id,question_text,category,product_ids,max_relevance,keywords_matched
q0001,🛳 크루즈닷 MSC 5/10 크루즈 여행 😎 님과 카카오톡 대화 저장한 날짜 : 2026-05-16 22:43:42,기타,,0.00,
q0002,"--------------- 2026년 5월 9일 토요일 --------------- 모니카님이 들어왔습니다.타인, 기관 등의 사칭에 유의해 주세요. 금전 또는개인정보를 요구 받을",정책&수수료,"Room, Policy",0.75,"Room, Policy"
q0003,도쿄 크루즈 터미널을 처음 이용해보시는 분들이,기타,Destination,0.85,Destination
q0004,당황해 하지 않도록 크루즈 터미널 관련 정보를 정리해둔 정보를 공유해 드리니 참고 부탁드립니다~!ㅎㅎ [팽원준 맥스 점장 (크루즈 전문)] [오후 9:19] 사진 [팽원준 맥스 .,탑승&수속,Boarding,0.85,Boarding
q0005,1층 외부에서 크루즈 패키징을 나눠드릴 예정입니다. ▶ 나눠드리는 장소는 변경될 수 있습니다. ▶ 크루즈닷 로고가 있는 붉은 후드티를 입고 있습니다. [팽원준 맥스 점장 (크루즈 ,탑승&수속,"Dining, Activity, Boarding",0.90,"Dining, Activity, Boarding"
q0006,사우나까지 잇고 아니 호텔60만이면 차라리 혼자서 세부를 한번 더가지 10시즘 나가야겟내용 [★아테나여신★] [오전 6:30] 택시한번 안타구 지하철로 댕겼구 20만이면 가성비있.,기술&앱,"320, Activity, Boarding, Document, Destination, Policy",0.95,"TIP, Activity, Boarding, Document, Destination, Policy"
q0007,4. [kb j] [오전 9:33] 우리 스탭은 따로 잇는지요? [크루즈_김윤미] [오전 9:42] 'MSC for Me'에 대해 알아보세요 - [링크],정책&수수료,"320, Room, Card",0.95,"TIP, Room, Card"
q0008,미리 다운받아 가시는것 추천드립니다 [크루즈_김윤미] [오전 9:47] 사진 [크루즈_김윤미] [오전 9:47] 크루즈닷 빨간 후드티를 입고 여러분을 맞이할꺼예요 [팽원준 맥스 .,탑승&수속,Boarding,0.85,Boarding
q0009,1층 외부에서 크루즈 패키징을 나눠드릴 예정입니다. ▶ 나눠드리는 장소와 시간은 조금 변경될 수 있습니다. ▶ 크루즈닷 로고가 있는 붉은 후드티를 입은 스탭이 나눠드립니다. [팽원,탑승&수속,"Room, Activity, Boarding, Document, Card",0.95,"Room, Activity, Boarding, Document, Card"
q0010,🚨 냉장고 안에 있는 음료는 유료입니다,식사&음료,Beverage,0.90,Beverage
q0011,"➡️ 크루즈 티켓, 택이 필요하신 분들은 제가 도와드릴게요 조금만 기다려주세요. 열심히 가고 있습니다💦 [팽원준 맥스 점장 (크루즈 전문)] [오전 11:55] 먼저 승선하시는 .",탑승&수속,"Room, Dining, Activity, Boarding, Document, Card",0.95,"Room, Dining, Activity, Boarding, Document, Card"
q0012,■ 초간단! MSC 벨리시마 카드 등록 [링크] [팽원준 맥스 점장 (크루즈 전문)] [오후 1:15] 사진 [팽원준 ...,기타,Card,0.80,Card
q0013,파우치 안에도 지도가 있습니다^^ 크루즈 타신분들은 객실에서 객실카드 챙기시고 15층에서 식사하세요^^ [김응기] [오후 1:16] 방에 바로 들어가면 되나요? [장근영(페르)].,탑승&수속,"Room, Dining, Activity, Boarding, Card",0.95,"Room, Dining, Activity, Boarding, Card"
q0015,[ju bong] [오후 1:47] 네 [팽원준 맥스 점장 (크루즈 전문)] [오후 1:53] @김대호 김대호님~ 저에게 카톡 전화주세요~~!!! [팽원준 맥스 점장 (크루즈 전문,탑승&수속,"Room, Dining, Activity, Boarding, Card",0.95,"Room, Dining, Activity, Boarding, Card"
q0016,*극장 내에서는 음식물 반입이 금지되어 있습니다.,식사&음료,,0.00,
q0017,**저작권법으로 인해 사진 촬영 및 비디오 촬영이 금지되어 있습니다. 큰 소음에 민감하신 분은 앞쪽 네 줄 좌석을 피하시는 것이 좋습니다.,정책&수수료,,0.00,
q0018,"🚨예약하신 분은 공연 시작 30분 전부터 입장이 가능하며, 5분 전까지 좌석이 보장됩니다. 이후에는 미예약 좌석이 해제되고 모든 관객에게 개방됩니다.",선상활동,"Room, Activity",0.85,"Room, Activity"
q0019,본 공연 관람은 예약이 필수입니다. 김경란님이 들어왔습니다. [신영미] [오후 6:37] 정찬은 오늘 하루만 있나요? [팽원준 맥스 점장 (크루즈 전문)] [오후 6:37] 사진 ,탑승&수속,"Room, Dining, Activity, Boarding, Destination, Card",0.95,"Room, Dining, Activity, Boarding, Destination, Card"
q0020,내일아침 레스토랑까지 가기 귀찮으신분들을 위해 객실에서 조식신청할 수 있는 방법 공유해 드립니다~!ㅎㅎ,식사&음료,"Room, Dining",0.95,"Room, Dining"
q0021,[링크],기타,,0.00,
q0022,※ 꼭 새벽 2시전까지 객실문앞에 걸어주세요~! [★아테나여신★] [오후 8:26] 미니바는 생수제외인가요? 생수도 유료? [모니카] [오후 8:31] 생수 유료입니다~~~ [신홍,객실&카드,"Room, Dining",0.95,"Room, Dining"
q0023,문앞에 붙여주세요~! 예쁘게 꾸민 모습 카톡방에 올려주세오~^^ [★아테나여신★] [오후 9:41] 우하 호달달 난 입구컷 표지딱 왼쪽 발걸음 10발자국이 내 방이지롱♡♡♡ [★아,객실&카드,Room,0.70,Room
q0024,"음료수도 잘 안마심 ♡♡♡ [팽원준 맥스 점장 (크루즈 전문)] [오후 10:24] 동영상 [팽원준 맥스 점장 (크루즈 전문)] [오후 10:24] 5층, 6층 갤러리아로 오세요 ",식사&음료,"Dining, Beverage, Boarding, Destination",0.90,"Dining, Beverage, Boarding, Destination"
q0025,안하면 불이익? [★아테나여신★] [오전 10:27] 사진 [케로로] [오전 10:27] 금일 나가서 음료를 사서 들어오는건 문제 없나요? [팽원준 맥스 점장 (크루즈 전문)] [,식사&음료,Beverage,0.90,Beverage
q0026,[★아테나여신★] [오전 10:28] 사진 [★아테나여신★] [오전 10:28] 사진 [팽원준 맥스 점장 (크루즈 전문)] [오전 10:29] @케로로 항차마다 현장마다 달라지는.,식사&음료,,0.00,
q0027,[★아테나여신★] [오전 10:31] 원준 점장님 6층에 잠시 메인계단 면담좀 [팽원준 맥스 점장 (크루즈 전문)] [오전 10:32] @all 객실카드에 신용카드 연동 못하신..,탑승&수속,"Room, Card",0.95,"Room, Card"
q0028,물어볽것이 [★아테나여신★] [오전 10:32] 지금갈게유 [팽원준 맥스 점장 (크루즈 전문)] [오전 10:33] 네네~! [★아테나여신★] [오전 11:35] 동영상 [★아테나,식사&음료,"Dining, Activity",0.90,"Dining, Activity"
q0029,ㅡ 뷔페 오전11시 ~ 오후3시 ㅡ정찬 식당 오전 11시30분 ~ 오후1시 (지정 좌석 아님),식사&음료,Dining,0.85,Dining
q0030,맛있는 식사 되세요^-^ [★아테나여신★] [오후 12:02] 동영상 [★아테나여신★] [오후 12:03] 동영상 [★아테나여신★] [오후 12:55] 마술은 예약안함 못봐용,식사&음료,Dining,0.90,Dining
q0031,? [팽원준 맥스 점장 (크루즈 전문)] [오후 1:02] 좌석이 다 예약차면 보실수 없기에 예약하시는걸 추천합니다 [신영미] [오후 1:07] 요금정산서 받았는데 잘못된건 어디.,탑승&수속,"320, Dining, Policy",0.95,"TIP, Dining, Policy"
q0032,참고 하실 수 있는 이미지 첨부해 드릴게요~!ㅎㅎ [장근영(페르)] [오후 4:04] 사진 [팽원준 맥스 점장 (크루즈 전문)] [오후 4:05] 간단하게 레고 동상 보이는 18층,기항지&투어,320,0.95,TIP
q0033,고베 항만청의 후원으로 승객과 승무원을 위해 고베 크루즈 터미널과 시내 중심가(모토마치 지역) 간 무료 셔틀 버스 서비스가 제공됩니다.,기항지&투어,,0.00,
q0034,이 서비스는 MSC 크루즈에서 운영하는 것이 아니라 별도로 운영됩니다.,기타,,0.00,
q0035,셔틀 버스는 교통 상황에 따라 평균 5~10분 간격으로 18:30부터 21:00까지 운행됩니다 ^-^ [케로로] [오후 4:49] 자세히 알려주셔서 감사합니다 [모니카] [오후 .,기항지&투어,,0.00,
q0036,🗓 5월 11일 (월) 오늘 내리실분들은,기타,,0.00,
q0037,🗓 5월 12일 (화) 오전 11시 이후 출입국 심사 시작.,기타,,0.00,
q0038,"🚨한번도 안내린 고객과 12일 오전11시 이전에 타셨던 고객은 반드시 12일 오전 11시 이후, 터미널로 가서 출국절차를 완료하세요. (왜냐하면, 모든 사람이 일본 대면 출국 심.",식사&음료,,0.00,
q0039,12일엔 반드시 여유롭게 오후 4시반까지 크루즈에 탑승하세요.,탑승&수속,Boarding,0.85,Boarding
q0040,🚨 12일 출국 심사를 받고 크루즈에 들어오신 분들은 다시 나가실수 없으세요.^-^,기타,,0.00,
q0041,행복한 일본 여행 되세요😆 [우주청소] [오후 5:22] 오늘11일 외출후 승선하려면 오후10시이전에 승선 하면 되나요. [팽원준 맥스 점장 (크루즈 전문)] [오후 5:24] 시,식사&음료,Dining,0.85,Dining
q0042,사람다 나갔으니 나좀 먹어보자고 꼬심 [★아테나여신★] [오후 10:35] 사진 --------------- 2026년 5월 12일 화요일 --------------- [★아테나여,식사&음료,"Room, Dining",0.85,"Room, Dining"
q0043,셔틀버스는 교통 상황에 따라 평균 5~10분 간격으로 ➡️ 08:30부터 16:30까지 운행됩니다.,기항지&투어,,0.00,
q0044,(MSC 크루즈에서 운영하는 것이 아니라 별도로 운영됩니다.) [팽원준 맥스 점장 (크루즈 전문)] [오전 10:07] @all 여행 잘 즐기고 계시나요?,기타,,0.00,
q0045,오늘 일본 고베를 떠나는 날입니다. ^-^,기타,,0.00,
q0046,오전 11시부터 고베 크루즈 터미널에서 출국심사가 진행됩니다!,기타,,0.00,
q0047,🚨 고베터미널에서 출국심사 받지 않은 분들은 반드시 받으셔야 됩니다.,기타,,0.00,
q0048,🚨 오후 4시30분까지는 여유롭게 크루즈에 탑승해주세요. 5시반에 가까워질수록 승선할때 사람들이 몰릴 확률이 높습니다.,탑승&수속,Boarding,0.85,Boarding
q0049,✅️ 출국심사를 받은 후에는 고베에 다시 내릴수 없습니다),기타,,0.00,
q0050,✅️ 여권은 크루즈 탈 때 직원이 가져갑니다.,탑승&수속,Document,0.85,Document
q0051,오늘도 행복한 여행되세요^-^ [★아테나여신★] [오전 11:33] 출국심사 완료 크루즈 들어올때보다 빡셔유 회수됏구 난 못나감 이따 사람몰리면 장난아닐듯 [★아테나여신★] [오전,식사&음료,Dining,0.85,Dining
q0052,이 시간에 진행됩니다. 각자 객실 카드를 안전교육 때 바코드 찍어주셔야 돼요^-^ [팽원준 맥스 점장 (크루즈 전문)] [오후 3:31] 사진 [팽원준 맥스 점장 (크루즈 전문)],탑승&수속,"Room, Boarding, Port, Card",0.95,"Room, Boarding, Port, Card"
q0053,탑승하셨으면 숫자 1주세용 메시지가 삭제되었습니다. [팽원준 맥스 점장 (크루즈 전문)] [오후 5:46] @kb j 정기복님 아까 3시40분쯤 복도에서 저랑 인사했는데 그 이후.,탑승&수속,"Beverage, Dining, Boarding",0.90,"Beverage, Dining, Boarding"
q0054,오늘 오후 2시 런던극장에서 내일 하선에 관한 중요한 공지가 있습니다.,기타,,0.00,
q0055,꼭 참석해주세요. ^-^ [케로로] [오전 9:06] 전원참석인가요? 방마다 한명만가도되나요? [팽원준 맥스 점장 (크루즈 전문)] [오전 9:07] @all 방마다 한 명씩만 참,탑승&수속,Room,0.70,Room
q0056,▶ 1. 하선 짐싸기 = 수하물 택이 객실로 배달됩니다.,탑승&수속,"Room, Boarding",0.95,"Room, Boarding"
q0057,🚨🚨🚨 위탁 수하물로 내놓는 캐리어에서 여권 / 객실카드 / 아침에 입을 옷 / 비상약 / 칫솔 등은 빼주세요!!! 자칫하다간 잠옷으로 하선하십니다 ^-^,탑승&수속,"Room, Document, Card",0.95,"Room, Document, Card"
q0058,▶ 2. 캐리어 문앞에 내놓기 = 택을 붙인 캐리어는 저녁11시까지 문 앞에 놓습니다. 혹시 모르니 문앞에 놓은 사진 찍어놓으세요. 택에 있는 부분 떼어내서 카드 뒷면에 붙이세요.,탑승&수속,Card,0.80,Card
q0059,"✅ 나는 캐리어 들고 내리겠다 하신다면 문앞에 내놓지 않으셔도 됩니다 ^-^ ✅ 캐리어 택에는 이름,주소 영문으로 써주세요",탑승&수속,,0.00,
q0060,▶ 3. 영수증 확인하기 MSC 어플에서 역을 확인하세요. 🚨 반드시!!! 계산서를 확인하세요! 하루 18달러 (4박 총 $72)의 선상팁과 일본 관광세 $5.79 선내에서 사용.,기항지&투어,320,0.95,TIP
q0061,➡ 계산이 맞으시면 그냥 계셔도 됩니다. ➡ 계산이 틀릴경우 선상신문에 나와있는 장소에서 재정산가능합니다.,기타,,0.00,
q0062,🚨 꼭 하선전 체크바랍니다. 하선후에는 계산서 체크가 불가능합니다.,선상활동,,0.00,
q0063,▶ 4. 객실 카드 🚨 객실 카드는 내일 아침 하선시 반드시 필요합니다. 꼭 잘 챙겨두시기 바랍니다. (객실카드는 소장하셔도 됩니다) [팽원준 맥스 점장 (크루즈 전문)] [오후 ,객실&카드,"Room, Card",0.95,"Room, Card"
q0064,🇰🇷🇰🇷🇰🇷내일 5/14 부산 도착 오전 7시,기타,,0.00,
q0065,▶ 🍽 아침 식사 시간 = 라이트 하우스 식당 6층 . 06:30 ~ 08:00 = 뷔페 15층 . 06:00 ~ 11:00,식사&음료,Dining,0.90,Dining
q0066,▶ 6층 중앙 에너지바에서 휴대용 가방 보관 가능 9:00 ~ 11:00 ▶ 객실은 오전 9시까지 비워주세요!! ▶ 우리는 ✨️W Cruise 그룹✨️으로 오전 11시에 하선 ..,객실&카드,Room,0.95,Room
q0067,방송 순서대로 천천히 차근차근 내려주세요. ▶ 내리신 후에 터미널에서 🧳 캐리어를 찾아 안전하게 귀가하시면 됩니다 ^-^,탑승&수속,Room,0.70,Room
q0068,(캐리어를 찾는 장소는 그때 그때 달라지기 때문에 현장에 있는 터미널 직원 안내를 따라주세요) [팽원준 맥스 점장 (크루즈 전문)] [오후 6:23] @all 이 여행은 자유여행.,탑승&수속,,0.00,
q0069,"다소 내용이 길더라도 지금 첨부해드린 사진 이미지, 글 차근차근 읽으며 하선 준비도 마쳐주세요.^-^",식사&음료,,0.00,
q0070,"오늘도 남은 시간 즐거운 여행되세요. 감사합니다! ^-^ -크루즈닷 드림- [팽원준 맥스 점장 (크루즈 전문)] [오후 7:06] @혜원 김혜원님, 김대호님 연락을 안받으셔서 톡.",객실&카드,Room,0.95,Room
q0071,[핸드폰] 팽원준 점장 으로 카톡 연락 부탁드려요~! [크루즈_김윤미] [오후 7:18] 아마 와이파이 신청을 안했을 수 있어요 [김경란] [오후 7:50] 지금 정...,기술&앱,"Room, Dining, Document, Card",0.95,"Room, Dining, Document, Card"
q0072,▶ 6층 중앙 에지바에서 휴대용 가방 보관 가능 🧳,선상활동,Room,0.70,Room
q0073,9:00 ~ 11:00 ▶ 객실은 오전 9시까지 비워주세요!! ▶ 우리는 ✨️W Cruise 그룹✨️으로 오전 11시에 하선 시작! 모임 시간 = 10시50분까지 모임 장소 =..,객실&카드,Room,0.95,Room
q0075,(캐리어를 찾는 장소는 그때 그때 달라지기 때문에 현장에 있는 터미널 직원 안내를 따라주세요) [팽원준 맥스 점장 (크루즈 전문)] [오전 7:22] 사진 2장 [팽원준 맥스 점장,탑승&수속,,0.00,
q0076,"😆 여행의 진짜 완성은 '추억 나누기'라고 하죠? ㅎㅎㅎ ^^ 짐 정리가 끝나시고 여유가 되실 때, 여기 카톡방에 📷 즐거웠던 여행 후기 한 줄과 인생샷 한 장 툭! 남겨주시면 .",탑승&수속,"Room, Boarding",0.75,"Room, Boarding"
q0077,앞으로의 날들이 이번 크루즈 여행처럼 여유롭고 행복하길 바랄게요 🚢💙,선상활동,,0.00,
q0078,다음 크루즈 여행에서 뵈어요~! ^-^,기타,,0.00,
q0079,"- 팽원준, 원영식 점장 드림 - [★아테나여신★] [오전 9:00] 사진 [★아테나여신★] [오전 9:00] 사진 [★아테나여신★] [오전 9:00] 밥을먹고 정리하구 캐리어 빼",탑승&수속,,0.00,
q0080,심홍석 점장님 감사합니다 쿠루즈닷 사이트 후기도 쓸수 잇으모 카피닷 또 올리려고 함 [정승원] [오전 9:12] 아테나님 대단해요 ㅎ [★아테나여신★] [오전 9:12] 어제 정.,선상활동,"320, Room, Dining, Document, Card",0.95,"TIP, Room, Dining, Document, Card"
q0081,어제 피아노 메인강당 가수님과 피아노 셔플댄스를 또 해서 외쿡 분들 이 박수를 쳐주엇음 [★아테나여신★] [오전 9:16] 사진 [★아테나여신★] [오전 9:18] 사진 [★아테.,기타,,0.00,
q0082,작년에 들고 나가시다가 검색대에 걸려서 벌금 낼뻔한 사례가 있었습니다~! [팽원준 맥스 점장 (크루즈 전문)] [오전 10:34] 6층 런던극장에 들어오셔서 대기 가능하십니다~! ,식사&음료,Room,0.70,Room
q0083,★아테나여신★님이 나갔습니다. [🌞팽원준] [오후 8:44] @장근영(페르) --------------- 2026년 5월 16일 토요일 --------------- 재성님이 나갔.,기항지&투어,,0.00,
q0084,🚢 크루즈닷 MSC 5/14 2항차 여행 😎 님과 카카오톡 대화 저장한 날짜 : 2026-05-16 22:44:06,식사&음료,,0.00,
q0085,"--------------- 2026년 5월 11일 월요일 --------------- 모니카님이 들어왔습니다.타인, 기관 등의 사칭에 유의해 주세요. 금전 또는개인정보를 요구 받",정책&수수료,"Room, Policy",0.75,"Room, Policy"
q0086,자유여행인 만큼 자유롭게 즐기시고 궁금하신 부분들 있으면 질문 주시면 도움 드리도록 하겠습니다~!!!,탑승&수속,,0.00,
q0087,행복한 여행이 되시길 여행 끝날때까지 날씨요정과 건강무탈 기원하며 함께 여행마무리까지 즐겨보아요~~~^^ [모니카] [오후 4:25] 이모티콘 [장근영(페르)] [오후 4:25..,식사&음료,"Room, Beverage, Dining, Boarding, Document, Card",0.90,"Room, Beverage, Dining, Boarding, Document, Card"
q0088,또하나 기항지투어할 때 기고시마에서 어디로 투어할지는 승선해야 알 수 있나요? 택시비가 비싸다고 하셔서 저희가 생각하는 루트랑 맞는지 보려고요. [전정철] [오후 5:56] 아~~,기항지&투어,"Activity, Port, Card",0.85,"Activity, Port, Card"
q0089,"1. 항구에서 시내 주요 지점까지만 이동하거나 ,3~4시간 정도의 짧은 핵심 관광프로그램 이 약 50~70$ 정도 됩니다.",기항지&투어,Port,0.80,Port
q0090,"2. 주요 명소를 전용버스로 둘러보며, 6~8시간 정도 돌아다니는경우 약 140~190$ 정도 됩니다.",기항지&투어,,0.00,
q0091,모든 일정이나 프로그램은 현지 상황 및 조건에 따라 차이는 있습니다~! [정수정] [오후 6:15] 참고하겠습니다^^ [장근영(페르)] [오후 6:17] 일본 출국세 같은 경우는 ,정책&수수료,"Room, Card",0.90,"Room, Card"
q0093,행복한 여행이 되시길 여행 끝날때까지 날씨요정과 건강무탈 기원하며 함께 여행마무리까지 즐겨보아요~~~^^ [팽원준 맥스 점장 (크루즈 전문)] [오후 1:45] @all 크루...,선상활동,"Room, Activity, Document, Destination",0.85,"Room, Activity, Document, Destination"
q0094,어플 정보 보내드립니다 [팽원준 맥스 점장 (크루즈 전문)] [오후 6:33] 사진 --------------- 2026년 5월 13일 수요일 --------------- [팽원준,기타,,0.00,
q0095,내일은 크루즈여행 시작이니만큼 빠진 준비물도 마지막으로 확인하고,기타,,0.00,
q0096,오후 12시 까지 크루즈터미널에 와주세요,기타,,0.00,
q0097,-주소- [부산 국제 크루즈 터미널(영도)] 부산광역시 영도구 해양로301번길 17,기타,,0.00,
q0098,▶ 구글지도 확인하기 [링크],기타,,0.00,
q0099,"⭐여권은 필수 입니다!⭐ 텀블러, 신용카드(해외결제가능) 챙겨주세요",정책&수수료,"Document, Card",0.85,"Document, Card"
q0100,"MSC 벨리시마호 🚢 크루즈 여행 (D-1)"""" [모니카] [오후 1:04] 이모티콘 [해바라기] [오후 1:04] 시원하네요 ^^ ~ [팽원준 맥스 점장 (크루즈 전문)] [오후 ",선상활동,,0.00,
q0101,"크루즈 타자마자 유럽에 온 착각이 들겁니다^-^ [팽원준 맥스 점장 (크루즈 전문)] [오후 1:06] 내일 타시면 춤도, 수영도, 썬텐도 무조건 적극적으로 참여하세요.^-^ [장",탑승&수속,"Document, Card",0.85,"Document, Card"
q0102,참고해 주세요~!^^ [장근영(페르)] [오후 7:01] 사진 24장 [장근영(페르)] [오후 7:03] ※ 각종 바&라운지에 입장하시는것은 비용을 받지않으나 주류나 해당 서비스를,탑승&수속,"Room, Dining, Boarding, Document, Card",0.95,"Room, Dining, Boarding, Document, Card"
q0103,🚨 냉장고 안에 있는 음료는 유료입니다 [전정철] [오후 1:21] 파우치 받고 체크인 하는곳에 있어요 [부산맨] [오후 1:35] 사진 [팽원준 맥스 점장 (크루즈 전문)] ..,식사&음료,"Room, Dining, Beverage, Boarding, Card",0.95,"Room, Dining, Beverage, Boarding, Card"
q0104,"물, 우유, 아메리카노를 무료로 드실수 있습니다^^ [팽원준 맥스 점장 (크루즈 전문)] [오후 2:43] 사진 5장 [sein이혜경] [오후 2:51] 아까 객실 가기전에 티켓으",객실&카드,"Room, Document, Card",0.95,"Room, Document, Card"
q0105,핸드폰에 등록된 카드로 등록하는 부분은 5층 메인 안내 데스크에 문의해주세요~!! [sein이혜경] [오후 3:01] 오키요 [[이메일]] [오후 3:02]...,정책&수수료,"Room, Boarding, Card",0.95,"Room, Boarding, Card"
q0106,■ 초간단! MSC 벨리시마 카드 등록 [링크] [팽원준 맥스 점장 (크루즈 전문)] [오후 3:23] @all 객실...,정책&수수료,"320, Room, Dining, Activity, Card",0.95,"TIP, Room, Dining, Activity, Card"
q0107,기네스북과 MSC는 스폰서 관계라 도전자가 신기록을 갱신한다면 실시간으로 세계기록이 바뀌는 현장을 직접 보실 수 있습니다~^^ [장근영(페르)] [오전 12:28] 크루즈를 돌아다,기항지&투어,"320, Activity, Port, Card",0.95,"TIP, Activity, Port, Card"
q0108,특히 가고시마는 일본 전국 IC카드 호환이 조금 복잡한 편이라,기타,Card,0.80,Card
q0109,"스이카나 파시모가 일부 구간에서는 안 되는 경우가 있고, 현금만 받는 버스·철도도 존재합니당.. 참고해 주세요~! [김창헌] [오전 12:46] 혹시 기항지에서 시티투어 패스권을 ",기항지&투어,"Activity, Port, Card",0.85,"Activity, Port, Card"
q0110,✅ 오후에 크루즈에 방송을 잘 따라서 관광 준비를 해주세요 ^-^,기항지&투어,Room,0.70,Room
q0111,✅ 출항시간 1시간 전에 무조건 들어와주세요. (교통 정체나 여러 변수로 늦어져서 못타는 사례도 있습니다),기항지&투어,,0.00,
q0112,오늘도 행복한 크루즈 여행 되세요^-^ 메시지가 삭제되었습니다. [부산맨] [오전 11:58] 일행마다 배 내리는.시간이 달라서 그런데 같이 맞춰서 내려갈 방법이 없ㄴ요? [부산맨,객실&카드,Room,0.95,Room
q0113,가실때 여권과 크루즈 카드도 꼭챙기세요~~! [신동환] [오후 12:00] 같은 일행인데 방배정이 달라서 번호가 달라요 [신동환] [오후 12:01] 같이 움직여야 할려는데... ,탑승&수속,"Room, Boarding, Document, Card",0.85,"Room, Boarding, Document, Card"
q0114,18시까지 늦지않게 승선해주시는게 좋습니다~!^^ [자랑하는 라이언] [오후 12:20] 19시30분아닌가요?? [sein이혜경] [오후 12:22] 여러분들 굳모닝입니다~ [s.,기항지&투어,Document,0.80,Document
q0115,"[sein이혜경] [오후 12:24] 사진 [팽원준 맥스 점장 (크루즈 전문)] [오후 12:28] 네. 가고시마 셔틀버스는 유료입니다 성인 18달러이고, 이용시 객실카드로 자동 ",식사&음료,"Room, Beverage, Document, Card",0.95,"Room, Beverage, Document, Card"
q0116,[모니카] [오후 1:45] 크루즈선 다시 들어갈때 X-ray 다 하고 들어갑니다~~ [모니카] [오후 1:45] 다 확인해요~! [김현진] [오후 2:40] 저희는 오늘 하선..,기타,Room,0.70,Room
q0117,오늘 입국 수속을 해야 된다라면 방송에서 모든 승객이 입국 수속을 하라고 나옵니다.,탑승&수속,"Room, Boarding",0.85,"Room, Boarding"
q0118,더 정확한 건 5층 리셉션에서 확인해주시면 감사하겠습니다. ^-^ [모니카] [오후 2:47] 하선 안해도 보통 입국 심사 하고 다시 들어오라고 하고는 있어요~~~~ [노래하는..,식사&음료,"Room, Dining",0.85,"Room, Dining"
q0119,아직 오고 있으신분들은 조금 서둘러주셔서 안전하게 오시는게 좋습니다~!! [장근영(페르)] [오후 6:06] 맞아요..ㅋㅋ.. 아쉬움이 남아야 또 오고 싶을테니까 아쉬움을 뒤로하고,선상활동,,0.00,
q0120,MSC벨리시마의 하이라이트 화이트 나이트 파티가 있을 예정입니다~!!^^,기타,,0.00,
q0121,미리 좋은자리를 잡으시는게 좋습니다! ㅎㅎ [장근영(페르)] [오후 7:13] 지금 마지막 남은 문닫고있는데 혹시 못타신분 있을까요?? [장근영(페르)] [오후 8:10] 사진 .,기타,,0.00,
q0122,늦지 않게 시간 맞춰서 와주세요. 하선 전에 중요 내용들 안내드릴 예정입니다! 칼같이 10시에 시작합니다 ㅋㅋㅋㅋㅋㅋㅋ 메시지가 삭제되었습니다. 메시지가 삭제되었습니다. [부산맨],기타,,0.00,
q0123,중요한 내용이니 늦지않게 참석하셔서 놓치는부분이 없도록 해주세요~^^ [장근영(페르)] [오전 11:12] 사진 18장 [장근영(페르)] [오전 11:13] 안녕하세요 여러분 오.,기타,,0.00,
