"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-10-31,2026-04-26,광고소재합치기,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",1553,actions:offsite_conversion.fb_pixel_lead,5512,2.070573,48.28396652,"광고 세트 예산 사용 중",0,74985,"진행 중",11413,6570.139315,2158,,34.747451,18.908263,2080,18.224831,36.050481,1395,53.752688
2024-10-31,2026-04-26,8번째3번광고소재부업으로,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,85,1,337.66666667,"광고 세트 예산 사용 중",0,1013,"진행 중",85,11917.647059,3,,337.666667,3.529412,3,3.529412,337.666667,3,337.666667
2024-10-31,2026-04-26,8번째3번광고핑거스냅,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",3671,actions:offsite_conversion.fb_pixel_lead,22784,1.873069,67.82320893,"광고 세트 예산 사용 중",0,248979,"진행 중",42676,5834.169088,4690,,53.087207,10.989783,4644,10.881995,53.613049,3362,74.056811
2024-10-31,2026-04-26,크루즈인솔자,45-54,archived,"클릭 후 7일 또는 조회 후 1일",,,1472,1.279212,,"광고 세트 예산 사용 중",0,107035,2024-11-27,1883,56842.804036,133,,804.774436,7.063197,147,7.806691,728.129252,124,863.185484
2024-10-31,2026-04-26,8번째3번광고소재부업,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,146,1.006849,700,"광고 세트 예산 사용 중",0,2100,"진행 중",147,14285.714286,3,,700,2.040816,3,2.040816,700,3,700
2024-10-31,2026-04-26,2차인솔자테스트,45-54,archived,"클릭 후 7일 또는 조회 후 1일",,,29,1,,"광고 세트 예산 사용 중",0,906,2024-11-27,29,31241.37931,3,,302,10.344828,3,10.344828,302,2,453
2024-10-31,2026-04-26,20250103새로만들기,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",487,actions:offsite_conversion.fb_pixel_lead,2108,2.750474,36.23819302,"광고 세트 예산 사용 중",0,17648,"진행 중",5798,3043.80821,657,,26.861492,11.331494,630,10.865816,28.012698,362,48.751381
2024-10-31,2026-04-26,놀면서일하는영상,45-54,archived,"클릭 후 7일 또는 조회 후 1일",,,955,1.404188,,"광고 세트 예산 사용 중",0,112314,2024-11-27,1341,83753.914989,108,,1039.944444,8.053691,125,9.321402,898.512,99,1134.484848
2024-10-31,2026-04-26,20250104복사핑거스냅,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",286,actions:offsite_conversion.fb_pixel_lead,1327,2.119066,41.57342657,"광고 세트 예산 사용 중",0,11890,"진행 중",2812,4228.307255,399,,29.799499,14.189189,389,13.83357,30.565553,226,52.610619
2024-10-31,2026-04-26,세번째인솔자광고,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,4064,1.214321,91381.5,"광고 세트 예산 사용 중",0,182763,"진행 중",4935,37034.042553,329,,555.510638,6.666667,356,7.213779,513.379213,315,580.2
2024-10-31,2026-04-26,2025년1월6일핑거스냅편집,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",98,actions:offsite_conversion.fb_pixel_lead,679,1.939617,58.96938776,"광고 세트 예산 사용 중",0,5779,"진행 중",1317,4388.003037,176,,32.835227,13.363705,173,13.135915,33.404624,108,53.509259
2024-10-31,2026-04-26,2차영상없는랜딩,45-54,archived,"클릭 후 7일 또는 조회 후 1일",,,27,1.111111,,"광고 세트 예산 사용 중",0,1474,2024-11-27,30,49133.333333,2,,737,6.666667,3,10,491.333333,1,1474
2024-10-31,2026-04-26,2024년1월6일떠오르는직업,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",143,actions:offsite_conversion.fb_pixel_lead,628,2.648089,47.74125874,"광고 세트 예산 사용 중",0,6827,"진행 중",1663,4105.231509,223,,30.61435,13.409501,215,12.928443,31.753488,128,53.335938
2024-10-31,2026-04-26,고객이알아서문의하는영상,45-54,archived,"클릭 후 7일 또는 조회 후 1일",,,21,1.047619,,"광고 세트 예산 사용 중",0,1622,2024-11-27,22,73727.272727,1,,1622,4.545455,1,4.545455,1622,1,1622
2024-10-31,2026-04-26,세부타겟2024년1월6일떠오르는직업,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",49,actions:offsite_conversion.fb_pixel_lead,469,1.292111,78.30612245,"광고 세트 예산 사용 중",0,3837,"진행 중",606,6331.683168,58,,66.155172,9.570957,55,9.075908,69.763636,41,93.585366
2024-10-31,2026-04-26,월5억노하우,45-54,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,23,1,,"광고 세트 예산 사용 중",0,1074,2024-11-27,23,46695.652174,1,,1074,4.347826,2,8.695652,537,1,1074
2024-10-31,2026-04-26,"세부타겟2025년1월6일핑거스냅편집 - 사본",45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",51,actions:offsite_conversion.fb_pixel_lead,620,1.480645,103.19607843,"광고 세트 예산 사용 중",0,5263,"진행 중",918,5733.115468,87,,60.494253,9.477124,86,9.368192,61.197674,63,83.539683
2024-10-31,2026-04-26,이미지크루즈비즈니스,45-54,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,23,1.043478,,"광고 세트 예산 사용 중",0,1415,2024-11-27,24,58958.333333,,,,,0,0,0,,
2024-10-31,2026-04-26,놀면서일하는영상,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,98,1.081633,,"광고 세트 예산 사용 중",0,4243,"진행 중",106,40028.301887,10,,424.3,9.433962,12,11.320755,353.583333,10,424.3
2024-10-31,2026-04-26,인솔자크루즈,45-54,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,18,1,,"광고 세트 예산 사용 중",0,546,2024-11-27,18,30333.333333,1,,546,5.555556,1,5.555556,546,1,546
2024-10-31,2026-04-26,평생여행못한제가,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,108,1.037037,1111.4,"광고 세트 예산 사용 중",0,5557,"진행 중",112,49616.071429,5,,1111.4,4.464286,6,5.357143,926.166667,5,1111.4
2024-10-31,2026-04-26,"여행이 일이되는 순간",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,42,1.071429,3496,"광고 세트 예산 사용 중",0,3496,"진행 중",45,77688.888889,1,,3496,2.222222,1,2.222222,3496,1,3496
2024-10-31,2026-04-26,네번째인솔자광고,45-54,inactive,"여러 기여 설정",210,actions:offsite_conversion.fb_pixel_lead,3570,1.17395,283.50952381,"광고 세트 예산 사용 중",0,59537,"진행 중",4191,14205.917442,222,,268.184685,5.297065,230,5.48795,258.856522,212,280.834906
2024-10-31,2026-04-26,"새로운 캠페인 복제 재택가능 픽셀바꿈",45-54,inactive,"여러 기여 설정",74,actions:offsite_conversion.fb_pixel_lead,1242,1.015298,184.63513514,"광고 세트 예산 사용 중",0,13663,"진행 중",1261,10835.051546,76,,179.776316,6.026963,76,6.026963,179.776316,73,187.164384
2024-10-31,2026-04-26,6차새로운셋팅,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",207,actions:offsite_conversion.fb_pixel_lead,4022,1.094729,361.56038647,"광고 세트 예산 사용 중",0,74843,"진행 중",4403,16998.183057,262,,285.660305,5.950488,270,6.132183,277.196296,204,366.877451
2024-10-31,2026-04-26,7차픽셀새로셋팅,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",101,actions:offsite_conversion.fb_pixel_lead,2183,1.065506,536.41584158,"광고 세트 예산 사용 중",0,54178,"진행 중",2326,23292.347377,103,,526,4.428203,107,4.600172,506.336449,101,536.415842
2024-10-31,2026-04-26,7차픽셀크루즈프리랜서자영업복사,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",12,actions:offsite_conversion.fb_pixel_lead,195,1.030769,488.08333333,"광고 세트 예산 사용 중",0,5857,"진행 중",201,29139.303483,10,,585.7,4.975124,11,5.472637,532.454545,10,585.7
2024-10-31,2026-04-26,7차픽셀가족육아캠핑,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",7,actions:offsite_conversion.fb_pixel_lead,201,1.014925,732.14285714,"광고 세트 예산 사용 중",0,5125,"진행 중",204,25122.54902,7,,732.142857,3.431373,7,3.431373,732.142857,7,732.142857
2024-10-31,2026-04-26,8번째광고소재픽셀바꿈,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",4,actions:offsite_conversion.fb_pixel_lead,81,1.024691,297.75,"광고 세트 예산 사용 중",0,1191,"진행 중",83,14349.39759,4,,297.75,4.819277,4,4.819277,297.75,4,297.75
2024-10-31,2026-04-26,8번째광고소재픽셀바꿈2번째,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",93,actions:offsite_conversion.fb_pixel_lead,1340,1.014925,168.3655914,"광고 세트 예산 사용 중",0,15658,"진행 중",1360,11513.235294,97,,161.42268,7.132353,99,7.279412,158.161616,94,166.574468
2024-10-31,2026-04-26,8번째광고소재픽셀바꿈3번째,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",122,actions:offsite_conversion.fb_pixel_lead,2057,1.01264,188.31967213,"광고 세트 예산 사용 중",0,22975,"진행 중",2083,11029.764762,130,,176.730769,6.240999,136,6.529045,168.933824,124,185.282258
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,71,1,829.5,"광고 세트 예산 사용 중",0,1659,"진행 중",71,23366.197183,2,,829.5,2.816901,3,4.225352,553,2,829.5
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈2번째,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",551,actions:offsite_conversion.fb_pixel_lead,8056,1.10998,143.90381125,"광고 세트 예산 사용 중",0,79291,"진행 중",8942,8867.255648,546,,145.221612,6.106017,568,6.352047,139.596831,532,149.043233
2024-10-31,2026-04-26,광고소재합치기,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",2038,actions:offsite_conversion.fb_pixel_lead,11848,1.89551,74.86015702,"광고 세트 예산 사용 중",0,152565,"진행 중",22458,6793.347582,2624,,58.142149,11.684032,2584,11.505922,59.042183,1687,90.435685
2024-10-31,2026-04-26,8번째3번광고소재부업으로,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",6,actions:offsite_conversion.fb_pixel_lead,100,1,357.83333333,"광고 세트 예산 사용 중",0,2147,"진행 중",100,21470,7,,306.714286,7,8,8,268.375,6,357.833333
2024-10-31,2026-04-26,8번째3번광고핑거스냅,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",354,actions:offsite_conversion.fb_pixel_lead,3776,1.190413,123.13841808,"광고 세트 예산 사용 중",0,43591,"진행 중",4495,9697.664071,362,,120.417127,8.053393,370,8.231368,117.813514,352,123.838068
2024-10-31,2026-04-26,크루즈인솔자,55-64,archived,"클릭 후 7일 또는 조회 후 1일",,,636,1.378931,,"광고 세트 예산 사용 중",0,46537,2024-11-27,877,53063.854048,76,,612.328947,8.665907,82,9.350057,567.52439,68,684.367647
2024-10-31,2026-04-26,8번째3번광고소재부업,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,75,1.013333,1193,"광고 세트 예산 사용 중",0,1193,"진행 중",76,15697.368421,1,,1193,1.315789,1,1.315789,1193,1,1193
2024-10-31,2026-04-26,2차인솔자테스트,55-64,archived,"클릭 후 7일 또는 조회 후 1일",,,10,1,,"광고 세트 예산 사용 중",0,385,2024-11-27,10,38500,,,,,0,0,0,,
2024-10-31,2026-04-26,20250103새로만들기,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",271,actions:offsite_conversion.fb_pixel_lead,1318,2.211684,29.89298893,"광고 세트 예산 사용 중",0,8101,"진행 중",2915,2779.073756,361,,22.440443,12.38422,357,12.246998,22.691877,191,42.413613
2024-10-31,2026-04-26,놀면서일하는영상,55-64,archived,"클릭 후 7일 또는 조회 후 1일",,,535,1.439252,,"광고 세트 예산 사용 중",0,61520,2024-11-27,770,79896.103896,64,,961.25,8.311688,66,8.571429,932.121212,58,1060.689655
2024-10-31,2026-04-26,20250104복사핑거스냅,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",258,actions:offsite_conversion.fb_pixel_lead,1117,1.940018,31.29069767,"광고 세트 예산 사용 중",0,8073,"진행 중",2167,3725.426857,343,,23.536443,15.828334,340,15.689894,23.744118,200,40.365
2024-10-31,2026-04-26,세번째인솔자광고,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",,,1728,1.302662,,"광고 세트 예산 사용 중",0,78079,"진행 중",2251,34686.361617,207,,377.193237,9.195913,223,9.906708,350.130045,197,396.340102
2024-10-31,2026-04-26,세부타겟2024년1월6일떠오르는직업,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",17,actions:offsite_conversion.fb_pixel_lead,162,1.067901,71.76470588,"광고 세트 예산 사용 중",0,1220,"진행 중",173,7052.023121,21,,58.095238,12.138728,22,12.716763,55.454545,18,67.777778
2024-10-31,2026-04-26,2차영상없는랜딩,55-64,archived,"클릭 후 7일 또는 조회 후 1일",,,21,1,,"광고 세트 예산 사용 중",0,1379,2024-11-27,21,65666.666667,1,,1379,4.761905,1,4.761905,1379,1,1379
2024-10-31,2026-04-26,"세부타겟2025년1월6일핑거스냅편집 - 사본",55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",26,actions:offsite_conversion.fb_pixel_lead,285,1.105263,78.69230769,"광고 세트 예산 사용 중",0,2046,"진행 중",315,6495.238095,25,,81.84,7.936508,27,8.571429,75.777778,25,81.84
2024-10-31,2026-04-26,고객이알아서문의하는영상,55-64,archived,"클릭 후 7일 또는 조회 후 1일",,,16,1,,"광고 세트 예산 사용 중",0,1368,2024-11-27,16,85500,1,,1368,6.25,1,6.25,1368,1,1368
2024-10-31,2026-04-26,월5억노하우,55-64,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,7,1,,"광고 세트 예산 사용 중",0,336,2024-11-27,7,48000,,,,,0,0,0,,
2024-10-31,2026-04-26,이미지크루즈비즈니스,55-64,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,10,1,,"광고 세트 예산 사용 중",0,1159,2024-11-27,10,115900,,,,,0,0,0,,
2024-10-31,2026-04-26,놀면서일하는영상,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,36,1.083333,,"광고 세트 예산 사용 중",0,1633,"진행 중",39,41871.794872,2,,816.5,5.128205,2,5.128205,816.5,2,816.5
2024-10-31,2026-04-26,인솔자크루즈,55-64,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,17,1,,"광고 세트 예산 사용 중",0,731,2024-11-27,17,43000,1,,731,5.882353,1,5.882353,731,1,731
2024-10-31,2026-04-26,네번째인솔자광고,55-64,inactive,"여러 기여 설정",26,actions:offsite_conversion.fb_pixel_lead,616,1.069805,316.19230769,"광고 세트 예산 사용 중",0,8221,"진행 중",659,12474.962064,29,,283.482759,4.400607,31,4.704097,265.193548,28,293.607143
2024-10-31,2026-04-26,"새로운 캠페인 복제 재택가능 픽셀바꿈",55-64,inactive,"여러 기여 설정",14,actions:offsite_conversion.fb_pixel_lead,263,1,227.14285714,"광고 세트 예산 사용 중",0,3180,"진행 중",263,12091.254753,14,,227.142857,5.323194,16,6.08365,198.75,14,227.142857
2024-10-31,2026-04-26,6차새로운셋팅,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",19,actions:offsite_conversion.fb_pixel_lead,254,1.047244,188.21052632,"광고 세트 예산 사용 중",0,3576,"진행 중",266,13443.609023,20,,178.8,7.518797,21,7.894737,170.285714,20,178.8
2024-10-31,2026-04-26,7차픽셀크루즈프리랜서자영업복사,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,38,1.026316,368,"광고 세트 예산 사용 중",0,1104,"진행 중",39,28307.692308,3,,368,7.692308,3,7.692308,368,3,368
2024-10-31,2026-04-26,7차픽셀가족육아캠핑,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,30,1,331.5,"광고 세트 예산 사용 중",0,663,"진행 중",30,22100,2,,331.5,6.666667,2,6.666667,331.5,2,331.5
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈2번째,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",355,actions:offsite_conversion.fb_pixel_lead,5036,1.132049,138.91267606,"광고 세트 예산 사용 중",0,49314,"진행 중",5701,8650.061393,364,,135.478022,6.384845,378,6.630416,130.460317,353,139.699717
2024-10-31,2026-04-26,광고소재합치기,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",3060,actions:offsite_conversion.fb_pixel_lead,13784,2.143862,66.78562092,"광고 세트 예산 사용 중",0,204364,"진행 중",29551,6915.637373,3866,,52.861873,13.082468,3824,12.94034,53.442469,2481,82.371624
2024-10-31,2026-04-26,8번째3번광고소재부업으로,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,19,1,95,"광고 세트 예산 사용 중",0,190,"진행 중",19,10000,2,,95,10.526316,2,10.526316,95,2,95
2024-10-31,2026-04-26,8번째3번광고핑거스냅,65+,inactive,"클릭 후 7일 또는 조회 후 1일",44,actions:offsite_conversion.fb_pixel_lead,720,1.008333,148.70454545,"광고 세트 예산 사용 중",0,6543,"진행 중",726,9012.396694,45,,145.4,6.198347,47,6.473829,139.212766,44,148.704545
2024-10-31,2026-04-26,크루즈인솔자,65+,archived,"클릭 후 7일 또는 조회 후 1일",,,128,1.414063,,"광고 세트 예산 사용 중",0,13494,2024-11-27,181,74552.486188,12,,1124.5,6.629834,13,7.18232,1038,12,1124.5
2024-10-31,2026-04-26,8번째3번광고소재부업,65+,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,19,1,246,"광고 세트 예산 사용 중",0,246,"진행 중",19,12947.368421,1,,246,5.263158,1,5.263158,246,1,246
2024-10-31,2026-04-26,놀면서일하는영상,65+,archived,"클릭 후 7일 또는 조회 후 1일",,,125,1.296,,"광고 세트 예산 사용 중",0,20218,2024-11-27,162,124802.469136,6,,3369.666667,3.703704,7,4.320988,2888.285714,5,4043.6
2024-10-31,2026-04-26,20250103새로만들기,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",108,actions:offsite_conversion.fb_pixel_lead,428,2.469626,30.15740741,"광고 세트 예산 사용 중",0,3257,"진행 중",1057,3081.362346,163,,19.981595,15.421003,158,14.947966,20.613924,95,34.284211
2024-10-31,2026-04-26,놀면서일하는영상,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,9,1,,"광고 세트 예산 사용 중",0,442,"진행 중",9,49111.111111,,,,,0,0,0,,
2024-10-31,2026-04-26,20250104복사핑거스냅,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",137,actions:offsite_conversion.fb_pixel_lead,401,2.142145,27.16058394,"광고 세트 예산 사용 중",0,3721,"진행 중",859,4331.781141,170,,21.888235,19.790454,169,19.67404,22.017751,109,34.137615
2024-10-31,2026-04-26,네번째인솔자광고,65+,inactive,"여러 기여 설정",4,actions:offsite_conversion.fb_pixel_lead,118,1.144068,452.75,"광고 세트 예산 사용 중",0,1811,"진행 중",135,13414.814815,4,,452.75,2.962963,4,2.962963,452.75,4,452.75
2024-10-31,2026-04-26,세부타겟2024년1월6일떠오르는직업,65+,inactive,"클릭 후 7일 또는 조회 후 1일",6,actions:offsite_conversion.fb_pixel_lead,43,1.093023,57.66666667,"광고 세트 예산 사용 중",0,346,"진행 중",47,7361.702128,8,,43.25,17.021277,9,19.148936,38.444444,6,57.666667
2024-10-31,2026-04-26,"새로운 캠페인 복제 재택가능 픽셀바꿈",65+,inactive,"여러 기여 설정",2,actions:offsite_conversion.fb_pixel_lead,44,1,335,"광고 세트 예산 사용 중",0,670,"진행 중",44,15227.272727,2,,335,4.545455,2,4.545455,335,2,335
2024-10-31,2026-04-26,"세부타겟2025년1월6일핑거스냅편집 - 사본",65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",7,actions:offsite_conversion.fb_pixel_lead,62,1.129032,59.42857143,"광고 세트 예산 사용 중",0,416,"진행 중",70,5942.857143,7,,59.428571,10,7,10,59.428571,5,83.2
2024-10-31,2026-04-26,6차새로운셋팅,65+,inactive,"클릭 후 7일 또는 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,61,1,150,"광고 세트 예산 사용 중",0,750,"진행 중",61,12295.081967,5,,150,8.196721,7,11.47541,107.142857,5,150
2024-10-31,2026-04-26,7차픽셀크루즈프리랜서자영업복사,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,10,1,338,"광고 세트 예산 사용 중",0,338,"진행 중",10,33800,1,,338,10,1,10,338,1,338
2024-10-31,2026-04-26,7차픽셀가족육아캠핑,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,11,1,,"광고 세트 예산 사용 중",0,104,"진행 중",11,9454.545455,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈2번째,65+,inactive,"클릭 후 7일 또는 조회 후 1일",76,actions:offsite_conversion.fb_pixel_lead,944,1.146186,116.31578947,"광고 세트 예산 사용 중",0,8840,"진행 중",1082,8170.055453,77,,114.805195,7.116451,79,7.301294,111.898734,74,119.459459
2024-10-31,2026-04-26,광고소재합치기,65+,inactive,"클릭 후 7일 또는 조회 후 1일",1208,actions:offsite_conversion.fb_pixel_lead,4488,2.168226,70.28890728,"광고 세트 예산 사용 중",0,84909,"진행 중",9731,8725.619155,1535,,55.315309,15.774329,1515,15.568801,56.045545,945,89.850794
2024-10-31,2026-04-26,8번째3번광고소재부업으로,65+,inactive,"클릭 후 7일 또는 조회 후 1일",,,6,1,,"광고 세트 예산 사용 중",0,144,"진행 중",6,24000,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째3번광고핑거스냅,Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,0,0,0,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,2,0
2024-10-31,2026-04-26,크루즈인솔자,Unknown,archived,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,2024-11-27,0,0,,,,,0,0,0,5,0
2024-10-31,2026-04-26,놀면서일하는영상,Unknown,archived,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,2024-11-27,0,0,,,,,0,0,0,1,0
2024-10-31,2026-04-26,세번째인솔자광고,Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,2,0
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈2번째,Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,0,0,0,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,1,0
2024-10-31,2026-04-26,광고소재합치기,Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,0,0,0,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
